,,,,,,,,
,,,,,,,,
,,,,,,,,
,TE0705_REV04,,,B2B,,TE0713_REV03,,
,Conn Pin name,Desig.,Pin,pin c,pin m,others,intermediate,FPGA Pin
,B2B-IO-G7_ETH-MDIO0_MGT-TX,JB1,3,JB1-3,JM1-4,---,---,W15
,B2B-IO-G7_ETH-MDIO0_MGT-TX,JB1,5,JB1-5,JM1-6,---,---,W16
,B2B-IO-G7_ETH-MDIO1_MGT-RX,JB1,9,JB1-9,JM1-10,---,---,T16
,B2B-IO-G7_ETH-MDIO1_MGT-RX,JB1,11,JB1-11,JM1-12,---,---,U16
,B2B-IO-G7_ETH-MDIO2_MGT-TX,JB1,15,JB1-15,JM1-16,---,---,Y14
,B2B-IO-G5_MIO_SD-D3_MGT-TX,JB1,18,JB1-18,JM1-17,---,---,AA13
,B2B-IO-G7_ETH-MDIO2_MGT-TX,JB1,17,JB1-17,JM1-18,---,---,W14
,B2B-IO-G5_MIO_SD-D2_MGT-TX,JB1,20,JB1-20,JM1-19,---,---,AB13
,B2B-IO-G5_MIO_SD-D1_GND,JB1,22,JB1-22,JM1-21,---,---,AA11
,B2B-IO-G7_ETH-MDIO3_MGT-RX,JB1,21,JB1-21,JM1-22,---,---,AA14
,B2B-IO-G5_MIO_SD-D0_GND,JB1,24,JB1-24,JM1-23,---,---,AA10
,B2B-IO-G7_ETH-MDIO3_MGT-RX,JB1,23,JB1-23,JM1-24,---,---,Y13
,B2B-IO-G5_MIO_SD-CMD_MGT-RX,JB1,26,JB1-26,JM1-25,---,---,V10
,B2B-IO-G5_MIO_SD-CLK_MGT-RX,JB1,28,JB1-28,JM1-27,---,---,W10
,B2B-IO-G1,JB1,32,JB1-32,JM1-31,---,---,E22
,B2B-IO-G1,JB1,34,JB1-34,JM1-33,---,---,D22
,B2B-IO-G1,JB1,36,JB1-36,JM1-35,---,---,G22
,B2B-IO-G1,JB1,35,JB1-35,JM1-36,---,---,B20
,B2B-IO-G1,JB1,38,JB1-38,JM1-37,---,---,G21
,B2B-IO-G1,JB1,37,JB1-37,JM1-38,---,---,A20
,B2B-IO-G1,JB1,39,JB1-39,JM1-40,---,---,C20
,B2B-IO-G1,JB1,42,JB1-42,JM1-41,---,---,E21
,B2B-IO-G1,JB1,41,JB1-41,JM1-42,---,---,D20
,B2B-IO-G1,JB1,44,JB1-44,JM1-43,---,---,D21
,B2B-IO-G1,JB1,46,JB1-46,JM1-45,---,---,F18
,B2B-IO-G1,JB1,45,JB1-45,JM1-46,---,---,A19
,B2B-IO-G1,JB1,48,JB1-48,JM1-47,---,---,E18
,B2B-IO-G1,JB1,47,JB1-47,JM1-48,---,---,A18
,B2B-IO-G1,JB1,50,JB1-50,JM1-49,---,---,C22
,B2B-IO-G1,JB1,49,JB1-49,JM1-50,---,---,F20
,B2B-IO-G1,JB1,52,JB1-52,JM1-51,---,---,B22
,B2B-IO-G1,JB1,51,JB1-51,JM1-52,---,---,F19
,B2B-IO-G1,JB1,56,JB1-56,JM1-55,---,---,B21
,B2B-IO-G1,JB1,55,JB1-55,JM1-56,---,---,A16
,B2B-IO-G1,JB1,58,JB1-58,JM1-57,---,---,A21
,B2B-IO-G1,JB1,57,JB1-57,JM1-58,---,---,A15
,B2B-IO-G1,JB1,60,JB1-60,JM1-59,---,---,C18
,B2B-IO-G1,JB1,59,JB1-59,JM1-60,---,---,B16
,B2B-IO-G1,JB1,62,JB1-62,JM1-61,---,---,C19
,B2B-IO-G1,JB1,61,JB1-61,JM1-62,---,---,B15
,B2B-IO-G1,JB1,66,JB1-66,JM1-65,---,---,E19
,B2B-IO-G1,JB1,65,JB1-65,JM1-66,---,---,B17
,B2B-IO-G1,JB1,68,JB1-68,JM1-67,---,---,D19
,B2B-IO-G1,JB1,67,JB1-67,JM1-68,---,---,B18
,B2B-IO-G1,JB1,70,JB1-70,JM1-69,---,---,C15
,B2B-IO-G1,JB1,69,JB1-69,JM1-70,---,---,A14
,B2B-IO-G1,JB1,72,JB1-72,JM1-71,---,---,C14
,B2B-IO-G1,JB1,71,JB1-71,JM1-72,---,---,A13
,B2B-IO-G1,JB1,76,JB1-76,JM1-75,---,---,D17
,B2B-IO-G1,JB1,75,JB1-75,JM1-76,---,---,D16
,B2B-IO-G1,JB1,78,JB1-78,JM1-77,---,---,C17
,B2B-IO-G1,JB1,77,JB1-77,JM1-78,---,---,E16
,B2B-IO-G1,JB1,79,JB1-79,JM1-80,---,---,E17
,B2B-IO-G1,JB1,82,JB1-82,JM1-81,---,---,B13
,B2B-IO-G1,JB1,81,JB1-81,JM1-82,---,---,F16
,B2B-IO-G1,JB1,84,JB1-84,JM1-83,---,---,C13
,B2B-IO-G6_MIO_UART-TX,JB1,86,JB1-86,JM1-85,---,---,U18
,B2B-IO-G1,JB1,85,JB1-85,JM1-86,---,---,D15
,B2B-IO-G6_MIO,JB1,88,JB1-88,JM1-87,---,---,U17
,B2B-IO-G1,JB1,87,JB1-87,JM1-88,---,---,D14
,B2B-IO-G6_MIO,JB1,92,JB1-92,JM1-91,---,---,Y21
,B2B-IO-G6_MIO_UART-RX,JB1,91,JB1-91,JM1-92,---,---,P19
,B2B-IO-G6_MIO,JB1,94,JB1-94,JM1-93,---,---,Y22
,B2B-IO-G1,JB1,93,JB1-93,JM1-94,---,---,E14
,B2B-IO-G6_MIO,JB1,96,JB1-96,JM1-95,---,---,T21
,B2B-IO-G1,JB1,95,JB1-95,JM1-96,---,---,E13
,B2B-IO-G6_MIO,JB1,98,JB1-98,JM1-97,---,---,U21
,B2B-IO-G1,JB1,97,JB1-97,JM1-98,---,---,F14
,B2B-IO-G6_MIO,JB1,100,JB1-100,JM1-99,---,---,R19
,B2B-IO-G1,JB1,99,JB1-99,JM1-100,---,---,F13
,B2B-IO-G3,JB2,12,JB2-12,JM2-11,---,---,AB17
,B2B-IO-G3,JB2,14,JB2-14,JM2-13,---,---,AB16
,B2B-IO-G3,JB2,13,JB2-13,JM2-14,---,---,Y16
,B2B-IO-G3,JB2,16,JB2-16,JM2-15,---,---,AA15
,B2B-IO-G3,JB2,15,JB2-15,JM2-16,---,---,AA16
,B2B-IO-G3,JB2,18,JB2-18,JM2-17,---,---,AB15
,B2B-PWR_M3/NC,JB2,20,JB2-20,JM2-19,---,---,AA7
,B2B-IO-G3,JB2,22,JB2-22,JM2-21,---,---,W11
,B2B-IO-G3,JB2,21,JB2-21,JM2-22,---,---,U15
,B2B-IO-G3,JB2,24,JB2-24,JM2-23,---,---,W12
,B2B-IO-G3,JB2,23,JB2-23,JM2-24,---,---,V15
,B2B-IO-G3,JB2,26,JB2-26,JM2-25,---,---,Y11
,B2B-IO-G3,JB2,25,JB2-25,JM2-26,---,---,V13
,B2B-IO-G3,JB2,28,JB2-28,JM2-27,---,---,Y12
,B2B-IO-G3,JB2,27,JB2-27,JM2-28,---,---,V14
,B2B-IO-G3,JB2,32,JB2-32,JM2-31,---,---,AB12
,B2B-IO-G4,JB2,31,JB2-31,JM2-32,---,---,K22
,B2B-IO-G3,JB2,34,JB2-34,JM2-33,---,---,AB11
,B2B-IO-G4,JB2,33,JB2-33,JM2-34,---,---,K21
,B2B-IO-G3,JB2,36,JB2-36,JM2-35,---,---,AB10
,B2B-IO-G4,JB2,35,JB2-35,JM2-36,---,---,G20
,B2B-IO-G3,JB2,38,JB2-38,JM2-37,---,---,AA9
,B2B-IO-G4,JB2,37,JB2-37,JM2-38,---,---,H20
,B2B-IO-G4,JB2,42,JB2-42,JM2-41,---,---,L16
,B2B-IO-G4,JB2,41,JB2-41,JM2-42,---,---,H22
,B2B-IO-G4,JB2,44,JB2-44,JM2-43,---,---,K16
,B2B-IO-G4,JB2,43,JB2-43,JM2-44,---,---,J22
,B2B-IO-G4,JB2,46,JB2-46,JM2-45,---,---,K13
,B2B-IO-G4,JB2,45,JB2-45,JM2-46,---,---,K18
,B2B-IO-G4,JB2,48,JB2-48,JM2-47,---,---,K14
,B2B-IO-G4,JB2,47,JB2-47,JM2-48,---,---,K19
,B2B-IO-G4,JB2,52,JB2-52,JM2-51,---,---,J20
,B2B-IO-G4,JB2,51,JB2-51,JM2-52,---,---,L19
,B2B-IO-G4,JB2,54,JB2-54,JM2-53,---,---,J21
,B2B-IO-G4,JB2,53,JB2-53,JM2-54,---,---,L20
,B2B-IO-G4,JB2,56,JB2-56,JM2-55,---,---,J14
,B2B-IO-G4,JB2,55,JB2-55,JM2-56,---,---,J19
,B2B-IO-G4,JB2,58,JB2-58,JM2-57,---,---,H14
,B2B-IO-G4,JB2,57,JB2-57,JM2-58,---,---,H19
,B2B-IO-G4,JB2,62,JB2-62,JM2-61,---,---,N19
,B2B-IO-G4,JB2,61,JB2-61,JM2-62,---,---,L21
,B2B-IO-G4,JB2,64,JB2-64,JM2-63,---,---,N18
,B2B-IO-G4,JB2,63,JB2-63,JM2-64,---,---,M21
,B2B-IO-G4,JB2,66,JB2-66,JM2-65,---,---,M18
,B2B-IO-G4,JB2,65,JB2-65,JM2-66,---,---,N20
,B2B-IO-G4,JB2,68,JB2-68,JM2-67,---,---,L18
,B2B-IO-G4,JB2,67,JB2-67,JM2-68,---,---,M20
,B2B-IO-G4,JB2,72,JB2-72,JM2-71,---,---,H13
,B2B-IO-G4,JB2,71,JB2-71,JM2-72,---,---,M13
,B2B-IO-G4,JB2,74,JB2-74,JM2-73,---,---,G13
,B2B-IO-G4,JB2,73,JB2-73,JM2-74,---,---,L13
,B2B-IO-G4,JB2,76,JB2-76,JM2-75,---,---,G16
,B2B-IO-G4,JB2,75,JB2-75,JM2-76,---,---,N22
,B2B-IO-G4,JB2,78,JB2-78,JM2-77,---,---,G15
,B2B-IO-G4,JB2,77,JB2-77,JM2-78,---,---,M22
,B2B-IO-G4,JB2,82,JB2-82,JM2-81,---,---,G17
,B2B-IO-G4,JB2,81,JB2-81,JM2-82,---,---,H18
,B2B-IO-G4,JB2,84,JB2-84,JM2-83,---,---,G18
,B2B-IO-G4,JB2,83,JB2-83,JM2-84,---,---,H17
,B2B-IO-G4,JB2,86,JB2-86,JM2-85,---,---,H15
,B2B-IO-G4,JB2,85,JB2-85,JM2-86,---,---,K17
,B2B-IO-G4,JB2,88,JB2-88,JM2-87,---,---,J15
,B2B-IO-G4,JB2,87,JB2-87,JM2-88,---,---,J17
,B2B-IO-G4,JB2,90,JB2-90,JM2-89,---,---,J16
,B2B-IO-G4,JB2,91,JB2-91,JM2-92,---,---,M16
,B2B-IO-G4,JB2,93,JB2-93,JM2-94,---,---,M15
,B2B-IO-G4,JB2,95,JB2-95,JM2-96,---,---,L15
,B2B-IO-G4,JB2,97,JB2-97,JM2-98,---,---,L14
,B2B-IO-G4,JB2,99,JB2-99,JM2-100,---,---,M17
,B2B-MGT-TX_IO-G2,JB3,8,JB3-8,JM3-7,---,---,A4
,B2B-MGT-RX_IO-G2,JB3,7,JB3-7,JM3-8,---,---,A8
,B2B-MGT-TX_IO-G2,JB3,10,JB3-10,JM3-9,---,---,B4
,B2B-MGT-RX_IO-G2,JB3,9,JB3-9,JM3-10,---,---,B8
,B2B-MGT-TX_IO-G2,JB3,14,JB3-14,JM3-13,---,---,C5
,B2B-MGT-RX_IO-G2,JB3,13,JB3-13,JM3-14,---,---,C11
,B2B-MGT-TX_IO-G2,JB3,16,JB3-16,JM3-15,---,---,D5
,B2B-MGT-RX_IO-G2,JB3,15,JB3-15,JM3-16,---,---,D11
,B2B-MGT-TX_IO-G2,JB3,20,JB3-20,JM3-19,---,---,A6
,B2B-MGT-RX_IO-G2,JB3,19,JB3-19,JM3-20,---,---,A10
,B2B-MGT-TX_IO-G2,JB3,22,JB3-22,JM3-21,---,---,B6
,B2B-MGT-RX_IO-G2,JB3,21,JB3-21,JM3-22,---,---,B10
,B2B-MGT-TX_IO-G2,JB3,26,JB3-26,JM3-25,---,---,C7
,B2B-MGT-RX_IO-G2,JB3,25,JB3-25,JM3-26,---,---,C9
,B2B-MGT-TX_IO-G2,JB3,28,JB3-28,JM3-27,---,---,D7
,B2B-MGT-RX_IO-G2,JB3,27,JB3-27,JM3-28,---,---,D9
,B2B-MGT-CLK_IO-G2,JB3,32,JB3-32,JM3-31,---,---,E10
,B2B-MGT-CLK_IO-G2,JB3,31,JB3-31,JM3-32,---,---,T14
,B2B-MGT-CLK_IO-G2,JB3,34,JB3-34,JM3-33,---,---,F10
,B2B-MGT-CLK_IO-G2,JB3,33,JB3-33,JM3-34,---,---,T15
,B2B-IO-G2,JB3,38,JB3-38,JM3-37,---,---,V18
,B2B-IO-G2,JB3,37,JB3-37,JM3-38,---,---,W19
,B2B-IO-G2,JB3,40,JB3-40,JM3-39,---,---,V19
,B2B-IO-G2,JB3,39,JB3-39,JM3-40,---,---,W20
,B2B-IO-G2,JB3,42,JB3-42,JM3-41,---,---,Y18
,B2B-IO-G2,JB3,41,JB3-41,JM3-42,---,---,W17
,B2B-IO-G2,JB3,44,JB3-44,JM3-43,---,---,Y19
,B2B-IO-G2,JB3,43,JB3-43,JM3-44,---,---,V17
,B2B-IO-G2,JB3,47,JB3-47,JM3-48,---,---,AA18
,B2B-IO-G2,JB3,49,JB3-49,JM3-50,---,---,AB18
,B2B-IO-G2,JB3,51,JB3-51,JM3-52,---,---,AA19
,B2B-IO-G2,JB3,53,JB3-53,JM3-54,---,---,AB20
,PMod2x6-5,J1,5,JB1-86,JM1-85,---,---,U18
,PMod2x6-7,J1,7,JB1-91,JM1-92,---,---,P19
,PMod2x6-8,J1,8,JB1-94,JM1-93,---,---,Y22
,PMod2x6-9,J1,9,JB1-92,JM1-91,---,---,Y21
,PMod2x6-10,J1,10,JB1-96,JM1-95,---,---,T21
,PMod2x6-11,J1,11,JB1-88,JM1-87,---,---,U17
,PMod2x6-12,J1,12,JB1-98,JM1-97,---,---,U21
,PMod2x6-7,J2,7,JB3-51,JM3-52,---,---,AA19
,PMod2x6-8,J2,8,JB3-53,JM3-54,---,---,AB20
,PMod2x6-9,J2,9,JB3-47,JM3-48,---,---,AA18
,PMod2x6-10,J2,10,JB3-49,JM3-50,---,---,AB18
,PMod2x6-11,J2,11,JB3-41,JM3-42,---,---,W17
,PMod2x6-12,J2,12,JB3-43,JM3-44,---,---,V17
,PMod2x6-1,J5,1,JB2-23,JM2-24,---,---,V15
,PMod2x6-2,J5,2,JB2-27,JM2-28,---,---,V14
,PMod2x6-3,J5,3,JB2-21,JM2-22,---,---,U15
,PMod2x6-4,J5,4,JB2-25,JM2-26,---,---,V13
,PMod2x6-5,J5,5,JB2-22,JM2-21,---,---,W11
,PMod2x6-6,J5,6,JB2-26,JM2-25,---,---,Y11
,PMod2x6-7,J5,7,JB2-24,JM2-23,---,---,W12
,PMod2x6-8,J5,8,JB2-28,JM2-27,---,---,Y12
,PMod2x6-1,J6,1,JB2-47,JM2-48,---,---,K19
,PMod2x6-2,J6,2,JB2-51,JM2-52,---,---,L19
,PMod2x6-3,J6,3,JB2-45,JM2-46,---,---,K18
,PMod2x6-4,J6,4,JB2-53,JM2-54,---,---,L20
,PMod2x6-5,J6,5,JB2-43,JM2-44,---,---,J22
,PMod2x6-6,J6,6,JB2-33,JM2-34,---,---,K21
,PMod2x6-7,J6,7,JB2-41,JM2-42,---,---,H22
,PMod2x6-8,J6,8,JB2-31,JM2-32,---,---,K22
,40_pin_header-5,J11,5,JB1-99,JM1-100,---,---,F13
,40_pin_header-6,J11,6,JB1-44,JM1-43,---,---,D21
,40_pin_header-7,J11,7,JB1-87,JM1-88,---,---,D14
,40_pin_header-8,J11,8,JB1-81,JM1-82,---,---,F16
,40_pin_header-9,J11,9,JB1-71,JM1-72,---,---,A13
,40_pin_header-10,J11,10,JB1-69,JM1-70,---,---,A14
,40_pin_header-11,J11,11,JB1-57,JM1-58,---,---,A15
,40_pin_header-12,J11,12,JB1-55,JM1-56,---,---,A16
,40_pin_header-13,J11,13,JB1-47,JM1-48,---,---,A18
,40_pin_header-14,J11,14,JB1-45,JM1-46,---,---,A19
,40_pin_header-15,J11,15,JB1-37,JM1-38,---,---,A20
,40_pin_header-16,J11,16,JB1-35,JM1-36,---,---,B20
,40_pin_header-17,J11,17,JB1-46,JM1-45,---,---,F18
,40_pin_header-18,J11,18,JB1-42,JM1-41,---,---,E21
,40_pin_header-19,J11,19,JB2-14,JM2-13,---,---,AB16
,40_pin_header-20,J11,20,JB2-16,JM2-15,---,---,AA15
,40_pin_header-21,J11,21,JB2-32,JM2-31,---,---,AB12
,40_pin_header-22,J11,22,JB2-36,JM2-35,---,---,AB10
,40_pin_header-23,J11,23,JB2-48,JM2-47,---,---,K14
,40_pin_header-24,J11,24,JB2-52,JM2-51,---,---,J20
,40_pin_header-25,J11,25,JB2-64,JM2-63,---,---,N18
,40_pin_header-26,J11,26,JB2-66,JM2-65,---,---,M18
,40_pin_header-27,J11,27,JB2-62,JM2-61,---,---,N19
,40_pin_header-28,J11,28,JB2-74,JM2-73,---,---,G13
,40_pin_header-29,J11,29,JB2-46,JM2-45,---,---,K13
,40_pin_header-30,J11,30,JB2-54,JM2-53,---,---,J21
,40_pin_header-31,J11,31,JB2-99,JM2-100,---,---,M17
,40_pin_header-32,J11,32,JB2-95,JM2-96,---,---,L15
,40_pin_header-33,J11,33,JB2-87,JM2-88,---,---,J17
,40_pin_header-34,J11,34,JB2-85,JM2-86,---,---,K17
,40_pin_header-35,J11,35,JB2-81,JM2-82,---,---,H18
,40_pin_header-36,J11,36,JB2-77,JM2-78,---,---,M22
,40_pin_header-37,J11,37,JB2-67,JM2-68,---,---,M20
,40_pin_header-38,J11,38,JB2-71,JM2-72,---,---,M13
,40_pin_header-39,J11,39,JB2-61,JM2-62,---,---,L21
,40_pin_header-40,J11,40,JB2-63,JM2-64,---,---,M21
,40_pin_header-5,J13,5,JB1-93,JM1-94,---,---,E14
,40_pin_header-6,J13,6,JB1-95,JM1-96,---,---,E13
,40_pin_header-7,J13,7,JB1-70,JM1-69,---,---,C15
,40_pin_header-8,J13,8,JB1-79,JM1-80,---,---,E17
,40_pin_header-9,J13,9,JB1-77,JM1-78,---,---,E16
,40_pin_header-10,J13,10,JB1-75,JM1-76,---,---,D16
,40_pin_header-11,J13,11,JB1-61,JM1-62,---,---,B15
,40_pin_header-12,J13,12,JB1-59,JM1-60,---,---,B16
,40_pin_header-13,J13,13,JB1-51,JM1-52,---,---,F19
,40_pin_header-14,J13,14,JB1-49,JM1-50,---,---,F20
,40_pin_header-15,J13,15,JB1-41,JM1-42,---,---,D20
,40_pin_header-16,J13,16,JB1-39,JM1-40,---,---,C20
,40_pin_header-17,J13,17,JB1-58,JM1-57,---,---,A21
,40_pin_header-18,J13,18,JB1-56,JM1-55,---,---,B21
,40_pin_header-19,J13,19,JB1-52,JM1-51,---,---,B22
,40_pin_header-20,J13,20,JB1-50,JM1-49,---,---,C22
,40_pin_header-21,J13,21,JB1-48,JM1-47,---,---,E18
,40_pin_header-22,J13,22,JB2-12,JM2-11,---,---,AB17
,40_pin_header-23,J13,23,JB2-18,JM2-17,---,---,AB15
,40_pin_header-24,J13,24,JB2-44,JM2-43,---,---,K16
,40_pin_header-25,J13,25,JB2-68,JM2-67,---,---,L18
,40_pin_header-26,J13,26,JB2-56,JM2-55,---,---,J14
,40_pin_header-27,J13,27,JB2-58,JM2-57,---,---,H14
,40_pin_header-28,J13,28,JB2-72,JM2-71,---,---,H13
,40_pin_header-29,J13,29,JB2-38,JM2-37,---,---,AA9
,40_pin_header-30,J13,30,JB2-42,JM2-41,---,---,L16
,40_pin_header-31,J13,31,JB2-35,JM2-36,---,---,G20
,40_pin_header-32,J13,32,JB2-97,JM2-98,---,---,L14
,40_pin_header-33,J13,33,JB2-34,JM2-33,---,---,AB11
,40_pin_header-34,J13,34,JB2-91,JM2-92,---,---,M16
,40_pin_header-35,J13,35,JB2-83,JM2-84,---,---,H17
,40_pin_header-36,J13,36,JB2-75,JM2-76,---,---,N22
,40_pin_header-37,J13,37,JB2-73,JM2-74,---,---,L13
,40_pin_header-38,J13,38,JB2-65,JM2-66,---,---,N20
,40_pin_header-39,J13,39,JB2-55,JM2-56,---,---,J19
,40_pin_header-40,J13,40,JB2-57,JM2-58,---,---,H19
,Ethernet-2,J14,2,JB1-3,JM1-4,---,---,W15
,Ethernet-3,J14,3,JB1-5,JM1-6,---,---,W16
,Ethernet-4,J14,4,JB1-9,JM1-10,---,---,T16
,Ethernet-5,J14,5,JB1-11,JM1-12,---,---,U16
,Ethernet-6,J14,6,JB1-15,JM1-16,---,---,Y14
,Ethernet-7,J14,7,JB1-17,JM1-18,---,---,W14
,Ethernet-8,J14,8,JB1-21,JM1-22,---,---,AA14
,Ethernet-9,J14,9,JB1-23,JM1-24,---,---,Y13